ye,ma,co,zcode,brd,type,brand,model,org,loc,cla,home,frm,qu,cy,hp,we,pl,do,le,wi,he,li1,li2,li3,li,sp,ac,pr,princ,eurpr,exppr,avexr,avdexr,avcpr,avppr,avdcpr,avdppr,xexr,tax,pop,ngdp,rgdp,engdp,ergdp,engdpc,ergdpc,inc,qu_tot,s
77,4,285,301,30,volkswagen golf,VW,golf,2,4,2,0,26,22941,1093.0,37.0,775,5.0,5.0,370.5,161.0,141.0,8.300000190734863,8.300000190734863,8.300000190734863,8.300000190734863,140.0,16.5,3711000.0,0.968083918094635,3580.9248046875,1382585.5,2.6841015815734863,1036.324462890625,68.54105377197266,69.4874267578125,25.191665649414062,,386.0973205566406,0.18000000715255737,55930000,214398996054016,926170707132416.0,206884044800,893707288576.0,3698.981689453125,15979.0322265625,23756.9107,1115750,0.02056105758458436
77,4,314,273,46,talbot/simca 1100,talbot,simca,1,3,1,0,33,18550,1118.0,43.0,930,5.0,5.0,394.5,159.0,145.5,7.199999809265137,10.100000381469727,10.100000381469727,9.133333206176758,136.0,19.700000762939453,2920000.0,0.7617367506027222,2817.650390625,509694.25,5.728924751281738,1036.324462890625,39.54926300048828,,25.191665649414062,,180.8933563232422,0.18000000715255737,55930000,214398996054016,926170707132416.0,206884044800,893707288576.0,3698.981689453125,15979.0322265625,23756.9107,1115750,0.016625588169392785
77,4,402,356,1,alfa giulia,alfa romeo,giulia,3,5,2,1,1,2569,1290.0,76.0,1010,5.0,4.0,418.5,156.0,143.0,10.0,12.5,15.0,12.5,165.0,,5298000.0,1.3820827007293701,5112.29833984375,5112.29833984375,1036.324462890625,1036.324462890625,25.191665649414062,,25.191665649414062,,1.0,0.18000000715255737,55930000,214398996054016,926170707132416.0,206884044800,893707288576.0,3698.981689453125,15979.0322265625,23756.9107,1115750,0.0023024871162894913
77,4,417,31,4,citroen ami,citroen,ami,1,3,1,0,16,3723,602.0,24.0,725,4.0,4.0,399.0,152.0,149.0,6.400000095367432,6.400000095367432,6.400000095367432,6.400000095367432,120.0,,3102000.0,0.8092148900032043,2993.27099609375,541462.875,5.728924751281738,1036.324462890625,39.54926300048828,,25.191665649414062,,180.8933563232422,0.18000000715255737,55930000,214398996054016,926170707132416.0,206884044800,893707288576.0,3698.981689453125,15979.0322265625,23756.9107,1115750,0.003336768989468967
77,4,456,397,14,lancia giardiniera=500,lancia,giardiniera,3,5,1,1,4,4647,499.5,13.0,560,4.0,3.0,318.5,132.0,135.5,5.599999904632568,5.599999904632568,5.599999904632568,5.599999904632568,95.0,,2254000.0,0.5879981517791748,2174.994384765625,2174.994384765625,1036.324462890625,1036.324462890625,25.191665649414062,,25.191665649414062,,1.0,0.18000000715255737,55930000,214398996054016,926170707132416.0,206884044800,893707288576.0,3698.981689453125,15979.0322265625,23756.9107,1115750,0.004164911494510419
77,4,521,446,46,talbot/simca 1000,tal/simca,1000,1,3,1,0,33,20590,944.0,29.0,795,5.0,4.0,381.0,148.5,136.5,6.800000190734863,9.399999618530273,9.399999618530273,8.533332824707031,133.0,21.700000762939453,2490000.0,0.649563193321228,2402.722412109375,434636.53125,5.728924751281738,1036.324462890625,39.54926300048828,,25.191665649414062,,180.8933563232422,0.18000000715255737,55930000,214398996054016,926170707132416.0,206884044800,893707288576.0,3698.981689453125,15979.0322265625,23756.9107,1115750,0.01845395473896482
77,4,525,449,46,talbot/simca 1307-1308-1309,tal/simca,1307,1,3,3,0,33,8220,1294.0,50.0,1050,5.0,4.0,424.5,168.0,139.0,7.5,9.899999618530273,9.899999618530273,9.09999942779541,152.0,16.700000762939453,4110000.0,1.072170615196228,3965.939453125,717412.125,5.728924751281738,1036.324462890625,39.54926300048828,,25.191665649414062,,180.8933563232422,0.18000000715255737,55930000,214398996054016,926170707132416.0,206884044800,893707288576.0,3698.981689453125,15979.0322265625,23756.9107,1115750,0.007367241765628501
78,4,7,3,1,alfetta (GTV),alfa romeo,GTV,3,5,4,1,1,19758,1570.0,80.0,1040,5.0,4.0,424.0,162.0,143.0,9.199999809265137,9.199999809265137,9.199999809265137,9.199999809265137,175.0,,7481000.0,1.656208872795105,7041.84814453125,7041.84814453125,1062.3631591796875,1062.3631591796875,28.233333587646484,,28.233333587646484,,1.0,0.18000000715255737,56130000,253535996346368,960698754531328.0,238652850176,904303542272.0,4251.78759765625,16110.876953125,24465.7254,1086370,0.01818717379898193
78,4,8,4,1,alfa giulietta,alfa romeo,giulletta,3,5,3,1,1,25561,1357.0,70.0,1070,5.0,4.0,421.0,165.0,140.0,7.5,7.5,7.5,7.5,165.0,,6956000.0,1.5399796962738037,6547.6669921875,6547.6669921875,1062.3631591796875,1062.3631591796875,28.233333587646484,,28.233333587646484,,1.0,0.18000000715255737,56130000,253535996346368,960698754531328.0,238652850176,904303542272.0,4251.78759765625,16110.876953125,24465.7254,1086370,0.023528816149194106
78,4,9,5,1,alfasud,alfa romeo,sud,3,5,2,1,1,33691,1186.0,46.0,860,5.0,4.0,389.0,159.0,137.0,7.199999809265137,7.199999809265137,7.199999809265137,7.199999809265137,150.0,13.600000381469727,4112000.0,0.9103503227233887,3870.6162109375,3870.6162109375,1062.3631591796875,1062.3631591796875,28.233333587646484,,28.233333587646484,,1.0,0.18000000715255737,56130000,253535996346368,960698754531328.0,238652850176,904303542272.0,4251.78759765625,16110.876953125,24465.7254,1086370,0.03101245432035126
